适应度, 迭代次数, 距离之和
116443.59651535354, 2782, 1767426
116443.59651535354, 2781, 1764922
118451.42771189635, 2780, 1769756
117791.86454546491, 2779, 1769751
125976.44343008978, 2778, 1771598
123986.01001484353, 2777, 1769101
119103.4103564214, 2776, 1767507
119805.48382986411, 2775, 1757050
116406.6350478998, 2774, 1752558
119805.48382986411, 2773, 1756061
119805.48382986411, 2772, 1750359
119805.48382986411, 2771, 1757098
117138.98313869783, 2770, 1759528
117138.98313869783, 2769, 1756938
113774.89035862, 2768, 1758064
113774.89035862, 2767, 1761678
113774.89035862, 2766, 1764417
113774.89035862, 2765, 1758829
113330.2425722441, 2764, 1763924
113932.58203873155, 2763, 1771858
113932.58203873155, 2762, 1770550
113708.5702668676, 2761, 1770151
105410.87179513703, 2760, 1766324
105410.87179513703, 2759, 1767762
105410.87179513703, 2758, 1768589
105410.87179513703, 2757, 1767748
101015.0354528698, 2756, 1769405
117064.03348305737, 2755, 1769233
113534.34875221009, 2754, 1770164
121171.98277921318, 2753, 1766099
118058.02094873534, 2752, 1765712
106627.97115098036, 2751, 1767567
106627.97115098036, 2750, 1765992
110562.64710273677, 2749, 1766826
110562.64710273677, 2748, 1763374
109910.4673641211, 2747, 1763224
118058.02094873534, 2746, 1764620
115457.61885719339, 2745, 1764737
115457.61885719339, 2744, 1765863
113390.05182522004, 2743, 1765074
113390.05182522004, 2742, 1769173
115457.61885719339, 2741, 1769543
118300.5112204463, 2740, 1765419
118300.5112204463, 2739, 1766255
115921.17181106909, 2738, 1767183
115921.17181106909, 2737, 1763382
115921.17181106909, 2736, 1760852
115921.17181106909, 2735, 1764740
115921.17181106909, 2734, 1763087
114774.98660010814, 2733, 1765600
122664.54860980625, 2732, 1770220
123210.92371484797, 2731, 1773216
116277.39757057064, 2730, 1772284
116277.39757057064, 2729, 1771593
118531.78577252125, 2728, 1776545
118531.78577252125, 2727, 1776979
117789.38672381383, 2726, 1772125
117789.38672381383, 2725, 1774618
117789.38672381383, 2724, 1769213
113335.7976520728, 2723, 1773807
113335.7976520728, 2722, 1768652
119508.50751953022, 2721, 1769249
118200.01199734461, 2720, 1768504
121676.83968201793, 2719, 1771750
121676.83968201793, 2718, 1773210
117742.9479054805, 2717, 1771590
122021.23447089887, 2716, 1771250
117415.18848855131, 2715, 1773096
112241.49124157066, 2714, 1769505
112241.49124157066, 2713, 1766080
106733.46507619944, 2712, 1761373
106733.46507619944, 2711, 1766705
106733.46507619944, 2710, 1762754
124761.66322268054, 2709, 1759957
122207.0149533954, 2708, 1756571
120703.2661165941, 2707, 1759506
120728.43343424718, 2706, 1767373
124001.30937125199, 2705, 1772439
125028.70197312935, 2704, 1775254
125067.82948066524, 2703, 1777148
123371.73983931103, 2702, 1772040
117936.08709411959, 2701, 1773525
112473.05056298834, 2700, 1772090
117936.08709411959, 2699, 1778227
117936.08709411959, 2698, 1776641
121706.36594311461, 2697, 1779478
121348.4926434125, 2696, 1772485
120088.78414228043, 2695, 1776607
120088.78414228043, 2694, 1773755
113103.38574730001, 2693, 1772133
113103.38574730001, 2692, 1770309
113103.38574730001, 2691, 1771267
113103.38574730001, 2690, 1768529
113601.16596844076, 2689, 1767934
