适应度, 迭代次数, 距离之和
113543.51557919972, 2932, 1791430
113670.51943851596, 2931, 1787285
113670.51943851596, 2930, 1783712
113670.51943851596, 2929, 1785023
110538.4591316636, 2928, 1781954
115474.07977078637, 2927, 1785876
115474.07977078637, 2926, 1785274
115474.07977078637, 2925, 1776836
115474.07977078637, 2924, 1779712
113122.70038931521, 2923, 1779953
113122.70038931521, 2922, 1778342
113122.70038931521, 2921, 1778160
113122.70038931521, 2920, 1781080
114157.6293285704, 2919, 1784724
124945.32749883417, 2918, 1778636
124109.1319812444, 2917, 1781830
117634.3370632405, 2916, 1782892
123925.45292444769, 2915, 1779299
120358.01168203149, 2914, 1777604
122134.40380808526, 2913, 1776156
118484.44364329203, 2912, 1773605
118484.44364329203, 2911, 1769099
120290.58386070562, 2910, 1774165
118985.69948150338, 2909, 1775903
112225.88206745623, 2908, 1772846
112225.88206745623, 2907, 1772010
118985.69948150338, 2906, 1769965
116613.35724529061, 2905, 1767456
116613.35724529061, 2904, 1769190
116305.94684550838, 2903, 1770044
121664.00984716821, 2902, 1772699
121664.00984716821, 2901, 1774408
121664.00984716821, 2900, 1773675
121664.00984716821, 2899, 1775740
123690.86213057517, 2898, 1776377
112254.41036516636, 2897, 1776316
112254.41036516636, 2896, 1776758
122978.21470416636, 2895, 1776322
121258.3741173195, 2894, 1779123
124067.44917193556, 2893, 1777698
118071.10443320694, 2892, 1774073
118071.10443320694, 2891, 1774065
117011.1246771142, 2890, 1772876
118071.10443320694, 2889, 1777057
120930.98236535756, 2888, 1776374
120930.98236535756, 2887, 1774644
120930.98236535756, 2886, 1776793
126270.75950225657, 2885, 1778517
122366.83792058095, 2884, 1774006
126630.54320789209, 2883, 1771623
125743.30798433204, 2882, 1771064
118446.83931026554, 2881, 1770771
118446.83931026554, 2880, 1766498
111849.35640312014, 2879, 1765095
111849.35640312014, 2878, 1770610
110946.61917294405, 2877, 1768339
111849.35640312014, 2876, 1769035
110704.47423607066, 2875, 1765188
110704.47423607066, 2874, 1769806
117930.64547107546, 2873, 1771021
120114.4961621324, 2872, 1768930
120114.4961621324, 2871, 1771728
120114.4961621324, 2870, 1768008
120055.04123367724, 2869, 1772020
116869.94087061631, 2868, 1776920
116869.94087061631, 2867, 1780535
114445.01163040962, 2866, 1783184
114445.01163040962, 2865, 1781582
109166.87480853344, 2864, 1773166
106777.99264103391, 2863, 1770137
109166.87480853344, 2862, 1769802
116828.7649541625, 2861, 1767236
116828.7649541625, 2860, 1769290
115728.77797737859, 2859, 1773635
115728.77797737859, 2858, 1777607
115728.77797737859, 2857, 1770161
115728.77797737859, 2856, 1769944
114056.11180611115, 2855, 1774198
115728.77797737859, 2854, 1774564
113988.23477925724, 2853, 1773706
114624.59831727241, 2852, 1770913
114624.59831727241, 2851, 1771054
113145.97639257842, 2850, 1771992
113145.97639257842, 2849, 1774898
113145.97639257842, 2848, 1774915
113145.97639257842, 2847, 1770761
117368.57092891997, 2846, 1770797
114661.80594563695, 2845, 1771735
118299.42270519555, 2844, 1774012
111088.36089778555, 2843, 1772392
111088.36089778555, 2842, 1769618
111088.36089778555, 2841, 1768052
111088.36089778555, 2840, 1770664
111088.36089778555, 2839, 1769926
111088.36089778555, 2838, 1775240
117433.66222641717, 2837, 1775947
117433.66222641717, 2836, 1769574
