适应度, 迭代次数, 距离之和
107051.52540993677, 2829, 995458
106716.16601833593, 2828, 996556
104193.94341288011, 2827, 1021408
106071.8245124891, 2826, 1003548
104601.74156927105, 2825, 977048
104601.74156927105, 2824, 993870
104601.74156927105, 2823, 1001228
103830.5742780039, 2822, 996528
104601.74156927105, 2821, 952588
104601.74156927105, 2820, 939786
104601.74156927105, 2819, 966590
104601.74156927105, 2818, 943654
106391.2286923182, 2817, 868662
106391.2286923182, 2816, 876526
106656.18205712838, 2815, 882220
108552.3046735849, 2814, 859530
108552.3046735849, 2813, 841714
108460.95376502392, 2812, 850006
108460.95376502392, 2811, 774736
108452.58001624055, 2810, 731682
107258.66284655065, 2809, 765572
107258.66284655065, 2808, 797076
108452.58001624055, 2807, 794332
107902.09748464996, 2806, 813988
108332.8519344722, 2805, 776660
108189.24852987762, 2804, 794304
108075.14318311687, 2803, 788322
109523.04812280678, 2802, 737384
109057.03370098854, 2801, 705036
109057.03370098854, 2800, 670222
109229.26959532553, 2799, 677988
109477.51054663902, 2798, 663728
109217.53638510247, 2797, 676532
108097.85367654783, 2796, 706066
108097.85367654783, 2795, 752448
108427.89981066246, 2794, 731530
108097.85367654783, 2793, 753546
108097.85367654783, 2792, 744250
108415.41302499307, 2791, 727866
107481.87460491469, 2790, 703200
107481.87460491469, 2789, 629164
107481.87460491469, 2788, 609880
108097.85367654788, 2787, 593016
108207.13695290552, 2786, 570558
108097.85367654783, 2785, 617942
108049.35829959445, 2784, 653736
107712.21907193531, 2783, 711602
107501.84374084877, 2782, 743846
107712.21907193531, 2781, 727100
107151.94914989905, 2780, 751674
107297.60137024724, 2779, 740868
106982.27847471788, 2778, 733770
106417.74018468412, 2777, 795392
106417.74018468412, 2776, 680798
106417.74018468412, 2775, 658106
106417.74018468412, 2774, 675768
106417.74018468412, 2773, 621282
106417.74018468412, 2772, 573170
105772.00571804216, 2771, 584812
106417.74018468412, 2770, 557326
106417.74018468412, 2769, 603190
106417.74018468412, 2768, 621460
106398.66518336315, 2767, 667790
105384.64012311272, 2766, 610280
105681.45382792945, 2765, 621548
106195.1148728925, 2764, 628582
106195.1148728925, 2763, 664336
104891.29046825343, 2762, 632558
104774.54989256411, 2761, 650558
104774.54989256411, 2760, 632866
103628.56164016454, 2759, 618538
103628.56164016454, 2758, 610454
103628.56164016454, 2757, 578124
103628.56164016454, 2756, 577380
101618.76834507824, 2755, 593858
101824.70195780629, 2754, 594944
103628.56164016454, 2753, 595208
102544.44597089429, 2752, 603440
102544.44597089429, 2751, 551620
103628.56164016454, 2750, 571558
103628.56164016454, 2749, 559770
101085.06101833856, 2748, 555056
103609.48663884356, 2747, 558626
103628.56164016454, 2746, 546928
103628.56164016454, 2745, 543250
103628.56164016454, 2744, 551660
103628.56164016454, 2743, 547266
103628.56164016454, 2742, 544614
103628.56164016454, 2741, 535338
103628.56164016454, 2740, 526800
103628.56164016454, 2739, 520790
103628.56164016454, 2738, 522194
103628.56164016454, 2737, 527912
103628.56164016454, 2736, 512594
103628.56164016454, 2735, 507484
103628.56164016458, 2734, 517148
103628.56164016458, 2733, 526538
103628.56164016458, 2732, 516964
103628.56164016458, 2731, 523190
102150.91035588663, 2730, 496610
102321.02336034954, 2729, 500058
102321.02336034954, 2728, 510872
102321.02336034954, 2727, 505876
